RowID,Model,Caption Notes,annotator,video_path,Prompt,Question,Answer,Categorization-1,Categorization-2
59,Runawaygen2,,wxy,./Runawaygen2/1uPVDzHcNEAApEhzlewBnx639vlNPHhLL.mp4,Generate a video for launching two rockets,How many rockets are launched in the video?,Two,Alignment,Alignment - Entity Counting
59,Runawaygen2,,wxy,./Runawaygen2/1uPVDzHcNEAApEhzlewBnx639vlNPHhLL.mp4,Generate a video for launching two rockets,Do all rockets launch at the same pace and clear the tower simultaneously?,"No, one of them is left behind and still held by the launch clamp.",Physics,Spatial-temporal Consistency - Temporal Dynamics
59,Runawaygen2,,wxy,./Runawaygen2/1uPVDzHcNEAApEhzlewBnx639vlNPHhLL.mp4,Generate a video for launching two rockets,Are there any fast-moving objects in this video?,"Yes, there are two launching rockets.",Alignment,Spatial-temporal Consistency - Spatial Dynamics
59,Runawaygen2,,wxy,./Runawaygen2/1uPVDzHcNEAApEhzlewBnx639vlNPHhLL.mp4,Generate a video for launching two rockets,Do the rockets disappear from the frame by the end of the video?,"No, both rockets are still visible in the frame at the end of the video.",Spatial-temporal consistency,Spatial-temporal Consistency - Temporal Dynamics
59,Runawaygen2,,wxy,./Runawaygen2/1uPVDzHcNEAApEhzlewBnx639vlNPHhLL.mp4,Generate a video for launching two rockets,Is there anything abnormal in the video?,"Yes, both launching rockets remain static throughout the video.",Physics,Spatial-temporal Consistency - Temporal Dynamics
59,Runawaygen2,,wxy,./Runawaygen2/1uPVDzHcNEAApEhzlewBnx639vlNPHhLL.mp4,Generate a video for launching two rockets,Is the rocket moving upwards in the video?,"No, the rocket is launching but its position in the frame remains unchanged.",Physics,Spatial-temporal Consistency - Spatial Dynamics
59,Runawaygen2,,wxy,./Runawaygen2/1uPVDzHcNEAApEhzlewBnx639vlNPHhLL.mp4,Generate a video for launching two rockets,Is the rocket moving upwards in the launch video?,"No, the rocket is launching but remains stationary in the frame.",Physics,Spatial-temporal Consistency - Spatial Dynamics
59,Runawaygen2,,wxy,./Runawaygen2/1uPVDzHcNEAApEhzlewBnx639vlNPHhLL.mp4,Generate a video for launching two rockets,Do all the launch clamps release in the video?,"No, one does not.",Spatial-temporal consistency,Spatial-temporal Consistency - Temporal Dynamics
59,Runawaygen2,,wxy,./Runawaygen2/1uPVDzHcNEAApEhzlewBnx639vlNPHhLL.mp4,Generate a video for launching two rockets,Do all the launch clamps release in this rocket launch video?,"No, one of them does not.",Alignment,Spatial-temporal Consistency - Temporal Dynamics
62,Runawaygen2,,wxy,./Runawaygen2/1UoUc0_KlfQgcIxF4ReOeRn33z7RAkyvW.mp4,Generate the process that a bullet is shot into a watermelon,How many whole watermelons are shown in the video?,Three,Alignment,Alignment - Entity Counting
62,Runawaygen2,,wxy,./Runawaygen2/1UoUc0_KlfQgcIxF4ReOeRn33z7RAkyvW.mp4,Generate the process that a bullet is shot into a watermelon,Are there any bullets shown in the video?,"No, there are no bullets shown throughout the video.",Alignment,Spatial-temporal Consistency - Temporal Dynamics
62,Runawaygen2,,wxy,./Runawaygen2/1UoUc0_KlfQgcIxF4ReOeRn33z7RAkyvW.mp4,Generate the process that a bullet is shot into a watermelon,Does the background color resemble the color of watermelon pulp?,"Yes, it is a soft pink hue.",Alignment,Alignment - Entity Properties
62,Runawaygen2,,wxy,./Runawaygen2/1UoUc0_KlfQgcIxF4ReOeRn33z7RAkyvW.mp4,Generate the process that a bullet is shot into a watermelon,Does the video feature any fast-moving objects?,"No, it only shows watermelons and their pulp; no bullets are present.",Physics,Physics - Motion
62,Runawaygen2,,wxy,./Runawaygen2/1UoUc0_KlfQgcIxF4ReOeRn33z7RAkyvW.mp4,Generate the process that a bullet is shot into a watermelon,Have you noticed any abnormalities?,"Yes, the shapes and patterns of the watermelons are constantly changing, and their volume is inflating without any external intervention.",Physics,Spatial-temporal Consistency - Temporal Dynamics
62,Runawaygen2,,wxy,./Runawaygen2/1UoUc0_KlfQgcIxF4ReOeRn33z7RAkyvW.mp4,Generate the process that a bullet is shot into a watermelon,Do the three whole watermelons in the back maintain their shape throughout the video?,"No, all the watermelons change shape throughout the video, deviating from the typical appearance of green-and-black stripes to a coarse surface, and the rind keeps shrinking.",Spatial-temporal consistency,Spatial-temporal Consistency - Temporal Dynamics
62,Runawaygen2,,wxy,./Runawaygen2/1UoUc0_KlfQgcIxF4ReOeRn33z7RAkyvW.mp4,Generate the process that a bullet is shot into a watermelon,Is a breaking process shown in the video?,"No, there is no bullet involved.",Alignment,Spatial-temporal Consistency - Temporal Dynamics
62,Runawaygen2,,wxy,./Runawaygen2/1UoUc0_KlfQgcIxF4ReOeRn33z7RAkyvW.mp4,Generate the process that a bullet is shot into a watermelon,Does the video show a watermelon breaking due to a bullet impact?,No. There's no bullet involved.,Alignment,Physics - State Transition
62,Runawaygen2,,wxy,./Runawaygen2/1UoUc0_KlfQgcIxF4ReOeRn33z7RAkyvW.mp4,Generate the process that a bullet is shot into a watermelon,Does the video contain any liquid?,"No, there is no liquid in the video.",Alignment,Alignment - Entity Properties
62,Runawaygen2,,wxy,./Runawaygen2/1UoUc0_KlfQgcIxF4ReOeRn33z7RAkyvW.mp4,Generate the process that a bullet is shot into a watermelon,"We know when the bullet shot into the watermelon, there might be liquid splitting over. Is there any liquid found in this video?","No, there was no liquid spilling observed in the video.",Alignment,Spatial-temporal Consistency - Temporal Dynamics
64,Runawaygen2,,wxy,./Runawaygen2/1E8frlPIh_SAp-4LERX5VEy_-FfbLahcY.mp4,Generate the free fall process of an iron ball from a tower,What material is the background structure made of?,The background structure appears to be metallic in nature. It might be steel or some kind of metal.,Alignment,Alignment - Entity Properties
64,Runawaygen2,,wxy,./Runawaygen2/1E8frlPIh_SAp-4LERX5VEy_-FfbLahcY.mp4,Generate the free fall process of an iron ball from a tower,Does the video contain an iron ball?,"No, the ball in the video is likely made of liquid.",Physics,Physics - State Transition
64,Runawaygen2,,wxy,./Runawaygen2/1E8frlPIh_SAp-4LERX5VEy_-FfbLahcY.mp4,Generate the free fall process of an iron ball from a tower,Is a tower visible in the video?,"No, there is no visible tower.",Alignment,Alignment - Entity Recognition and Classification
64,Runawaygen2,,wxy,./Runawaygen2/1E8frlPIh_SAp-4LERX5VEy_-FfbLahcY.mp4,Generate the free fall process of an iron ball from a tower,Is there a visible light source in the video?,"No visible artificial light source is present; the video is likely illuminated by ambient natural light, such as daylight.",Alignment,Alignment - Entity Properties
64,Runawaygen2,,wxy,./Runawaygen2/1E8frlPIh_SAp-4LERX5VEy_-FfbLahcY.mp4,Generate the free fall process of an iron ball from a tower,Does the viewpoint change throughout the video?,"No, the viewpoint is stable.",Spatial-temporal consistency,Spatial-temporal Consistency - Camera Dynamics
64,Runawaygen2,,wxy,./Runawaygen2/1E8frlPIh_SAp-4LERX5VEy_-FfbLahcY.mp4,Generate the free fall process of an iron ball from a tower,Does the video maintain clarity throughout its duration?,"No, it starts clear and becomes more ambiguous over time.",Spatial-temporal consistency,Spatial-temporal Consistency - Temporal Dynamics
64,Runawaygen2,,wxy,./Runawaygen2/1E8frlPIh_SAp-4LERX5VEy_-FfbLahcY.mp4,Generate the free fall process of an iron ball from a tower,Does the ball move in the video?,"No, the ball remains relatively stable throughout the video.",Physics,Spatial-temporal Consistency - Spatial Dynamics
64,Runawaygen2,,wxy,./Runawaygen2/1E8frlPIh_SAp-4LERX5VEy_-FfbLahcY.mp4,Generate the free fall process of an iron ball from a tower,Does the ball exhibit motion in the video during free fall from a fixed viewpoint?,"No, the ball remains relatively stable in the video.",Physics,Physics - Motion
64,Runawaygen2,,wxy,./Runawaygen2/1E8frlPIh_SAp-4LERX5VEy_-FfbLahcY.mp4,Generate the free fall process of an iron ball from a tower,Is the ball falling?,"No, the ball is almost static.",Physics,Spatial-temporal Consistency - Temporal Dynamics
64,Runawaygen2,,wxy,./Runawaygen2/1E8frlPIh_SAp-4LERX5VEy_-FfbLahcY.mp4,Generate the free fall process of an iron ball from a tower,Does a free falling object fall down in a normally positioned viewpoint?,"No, the ball is almost static.",Physics,Physics - Motion
66,Runawaygen2,,wxy,./Runawaygen2/1qO432rDMW2PhTvdtWxZf838vCIypA4Xy.mp4,Generate the video showing the Earth is revolving around the Sun,Does the video contain any solar-like objects?,"No, there are no sun or other solar-like objects present.",Alignment,Alignment - Entity Recognition and Classification
66,Runawaygen2,,wxy,./Runawaygen2/1qO432rDMW2PhTvdtWxZf838vCIypA4Xy.mp4,Generate the video showing the Earth is revolving around the Sun,Does this video contain any planets?,"No, there are no planets in this video.",Alignment,Alignment - Entity Recognition and Classification
66,Runawaygen2,,wxy,./Runawaygen2/1qO432rDMW2PhTvdtWxZf838vCIypA4Xy.mp4,Generate the video showing the Earth is revolving around the Sun,Is there a habitable planet shown in this video?,"No, there is no planet in this video.",Alignment,Alignment - Entity Recognition and Classification
66,Runawaygen2,,wxy,./Runawaygen2/1qO432rDMW2PhTvdtWxZf838vCIypA4Xy.mp4,Generate the video showing the Earth is revolving around the Sun,Are there any objects performing circular motion in the video?,"No, there are no identifiable objects performing circular motion in the video.",Alignment,Physics - Motion
66,Runawaygen2,,wxy,./Runawaygen2/1qO432rDMW2PhTvdtWxZf838vCIypA4Xy.mp4,Generate the video showing the Earth is revolving around the Sun,Does the video show any objects performing circular motion?,"No, there are no identifiable objects performing circular motion in the video.",Alignment,Physics - Motion
66,Runawaygen2,,wxy,./Runawaygen2/1qO432rDMW2PhTvdtWxZf838vCIypA4Xy.mp4,Generate the video showing the Earth is revolving around the Sun,Are there any moving objects in the video?,"No, there are no identifiable objects in the video.",Alignment,Spatial-temporal Consistency - Spatial Dynamics
66,Runawaygen2,,wxy,./Runawaygen2/1qO432rDMW2PhTvdtWxZf838vCIypA4Xy.mp4,Generate the video showing the Earth is revolving around the Sun,Are there any objects moving in circular trajectories in the video?,"No, there are no identifiable objects moving in circular trajectories in the video.",Alignment,Physics - Motion
68,Runawaygen2,,wxy,./Runawaygen2/1EvkyaV4VBnwoMjdv-_8Lxj_HXqoOCeDj.mp4,"A scientifically accurate animation of the Earth revolving around the Sun in its elliptical orbit. The Sun remains fixed at the center, glowing brightly, while the Earth orbits smoothly over the course of a full year. The Earth's axial tilt of 23.5 degrees is visible, causing seasonal changes. As the Earth moves, it also rotates on its axis, creating a realistic day-night cycle. The background is a vast space with stars, and the camera perspective follows the orbit from a heliocentric view, clearly showing the path of revolution.",Does this video contain any solar-like objects?,"Yes, it includes one sun or similar solar-like objects.",Alignment,Alignment - Entity Recognition and Classification
68,Runawaygen2,,wxy,./Runawaygen2/1EvkyaV4VBnwoMjdv-_8Lxj_HXqoOCeDj.mp4,"A scientifically accurate animation of the Earth revolving around the Sun in its elliptical orbit. The Sun remains fixed at the center, glowing brightly, while the Earth orbits smoothly over the course of a full year. The Earth's axial tilt of 23.5 degrees is visible, causing seasonal changes. As the Earth moves, it also rotates on its axis, creating a realistic day-night cycle. The background is a vast space with stars, and the camera perspective follows the orbit from a heliocentric view, clearly showing the path of revolution.",Does this video contain any planets?,"Yes, there is one planet in the video.",Alignment,Alignment - Entity Counting
